Province,City,Monitoring_Station,Latitude,Longitude,Date,Water_Temperature_C,pH,Dissolved_Oxygen_mg_L,Conductivity_uS_cm,Turbidity_NTU,Nitrate_mg_L,Nitrite_mg_L,Ammonia_N_mg_L,Total_Phosphorus_mg_L,Total_Nitrogen_mg_L,COD_mg_L,BOD_mg_L,Heavy_Metals_Pb_ug_L,Heavy_Metals_Cd_ug_L,Heavy_Metals_Hg_ug_L,Coliform_Count_CFU_100mL,Water_Quality_Index,Pollution_Level,Remarks
Henan,Luoyang,Luoyang_Station_5,28.850167,113.240575,2023-11-29,16.97,7.33,9.24,475.06,3.85,3.0,0.028,0.45,0.156,2.44,17.32,4.95,3.68,0.51,0.06,95,65.58,Good,
Guangdong,Guangzhou,Guangzhou_Station_3,25.216195,118.321643,2023-11-10,24.64,6.48,7.53,528.44,0.37,1.9,0.014,0.32,-0.036,2.94,14.28,3.12,4.4,0.4,0.13,108,47.97,Poor,
Hubei,Yichang,Yichang_Station_5,37.786142,119.523659,2023-12-21,17.99,7.06,7.54,443.48,2.7,2.91,0.013,0.39,0.065,2.84,17.62,4.83,-0.49,0.46,0.14,108,6.47,Moderate,
Henan,Luoyang,Luoyang_Station_7,38.563302,119.274959,2023-01-16,26.43,7.11,8.22,593.25,1.74,2.16,0.013,0.65,0.076,3.52,21.52,5.48,5.73,0.51,0.01,101,72.9,Excellent,
Henan,Luoyang,Luoyang_Station_10,39.905949,117.754544,2023-05-02,17.27,7.08,7.81,640.77,8.52,3.06,0.015,0.77,0.063,3.43,15.18,4.62,3.29,0.29,0.05,110,69.14,Excellent,Monitoring recommended
Shanghai,Shanghai,Shanghai_Station_10,38.078789,117.380035,2023-03-12,15.38,6.48,5.86,378.7,5.97,1.53,0.01,0.23,0.115,2.73,19.18,3.88,5.58,0.52,0.16,91,69.5,Moderate,
Yunnan,Kunming,Kunming_Station_6,43.306131,106.288099,2023-01-31,18.68,6.55,10.49,456.86,3.16,2.74,0.009,0.41,0.108,3.15,15.13,5.7,3.86,0.57,0.08,105,85.49,Good,
Henan,Luoyang,Luoyang_Station_1,39.50864,106.825558,2023-09-11,26.22,6.48,6.62,590.76,2.2,3.33,0.023,0.32,0.147,2.55,29.84,3.59,6.72,0.49,0.02,94,61.64,Poor,Monitoring recommended
Shandong,Qingdao,Qingdao_Station_5,37.287278,103.221764,2023-12-18,20.09,6.6,9.34,268.56,1.93,1.6,0.021,0.23,0.069,1.98,13.77,5.4,7.86,0.25,0.08,102,18.54,Poor,
Zhejiang,Hangzhou,Hangzhou_Station_10,21.329505,111.480615,2023-07-30,19.36,6.88,4.62,424.17,9.0,1.18,0.02,0.43,0.075,3.06,18.94,5.12,3.17,0.35,0.14,100,87.14,Moderate,Monitoring recommended
Yunnan,Dali,Dali_Station_9,42.340513,104.166097,2023-02-06,18.46,7.22,8.45,393.08,1.83,2.66,0.019,0.92,0.236,3.44,16.65,3.14,6.55,0.71,0.07,96,36.44,Good,
Henan,Zhengzhou,Zhengzhou_Station_2,40.606809,104.760034,2023-09-22,17.71,6.51,7.92,641.45,3.06,1.83,0.016,-0.02,0.083,3.66,17.67,3.33,3.46,0.53,0.02,106,23.91,Excellent,Requires attention
Jiangsu,Nanjing,Nanjing_Station_10,23.957405,107.495892,2023-04-23,18.11,7.18,8.97,520.05,1.32,1.53,0.01,0.19,0.095,4.0,10.01,5.69,-0.43,0.6,0.01,89,22.11,Very Poor,Monitoring recommended
Zhejiang,Ningbo,Ningbo_Station_9,30.215047,100.15463,2023-05-27,15.87,7.55,7.8,577.45,9.15,2.1,0.021,0.67,0.147,3.02,11.32,3.02,6.56,0.19,0.06,90,33.79,Excellent,Monitoring recommended
Shandong,Qingdao,Qingdao_Station_7,39.635049,103.132254,2023-04-29,20.4,6.58,7.05,471.09,11.77,2.89,0.034,0.6,0.13,3.13,19.65,3.11,7.86,0.87,0.07,96,14.81,Excellent,
Zhejiang,Hangzhou,Hangzhou_Station_7,37.267501,109.30014,2023-06-16,18.63,7.28,8.14,493.14,1.37,1.76,0.028,0.35,0.095,2.41,13.28,4.33,5.14,0.4,0.05,102,71.07,Moderate,High pollution spike detected
Jiangsu,Suzhou,Suzhou_Station_10,44.097697,108.702931,2023-04-13,22.83,6.94,5.14,635.86,6.36,2.21,0.025,0.39,0.022,1.91,15.31,5.09,3.37,0.69,0.06,95,6.71,Moderate,
Sichuan,Chengdu,Chengdu_Station_1,42.442744,115.394227,2023-07-27,18.68,6.65,10.8,475.78,12.97,1.77,0.053,0.45,0.027,2.91,23.56,3.37,2.77,1.0,0.12,98,58.45,Poor,
Hubei,Yichang,Yichang_Station_10,43.710889,102.928632,2023-08-11,24.33,7.2,7.38,538.12,4.88,1.63,0.025,0.43,0.119,2.76,22.11,3.34,5.9,0.3,0.08,85,67.69,Moderate,High pollution spike detected
Guangdong,Shenzhen,Shenzhen_Station_2,26.869584,113.548257,2023-05-24,21.92,6.53,8.09,528.99,16.28,1.65,0.003,0.39,0.094,2.69,27.76,4.28,4.82,0.61,0.2,87,3.58,Excellent,Monitoring recommended
Jiangsu,Suzhou,Suzhou_Station_8,36.267695,102.782125,2023-08-10,16.86,7.24,11.27,577.43,2.28,2.65,0.027,0.58,0.039,2.6,26.62,3.49,3.4,0.46,0.13,85,18.05,Very Poor,
Hubei,Yichang,Yichang_Station_7,25.309285,112.117646,2023-08-25,19.93,6.46,9.97,456.04,10.65,2.5,0.019,0.91,0.064,2.76,16.65,3.3,6.07,0.45,0.2,84,10.83,Poor,
Yunnan,Kunming,Kunming_Station_9,40.732999,107.817073,2023-02-24,27.96,7.53,9.59,480.72,0.26,2.11,0.033,0.51,0.101,3.67,21.86,4.36,4.19,0.67,0.1,104,10.89,Good,High pollution spike detected
Sichuan,Mianyang,Mianyang_Station_6,35.310865,108.033438,2023-08-30,26.71,6.4,7.43,648.71,0.29,2.33,0.022,0.66,0.1,3.41,18.46,3.35,7.11,0.56,0.13,89,36.58,Moderate,Requires attention
Shandong,Jinan,Jinan_Station_6,37.203907,104.746036,2023-10-02,22.63,7.64,7.69,500.84,2.86,1.92,0.008,0.66,0.017,2.45,20.03,3.97,5.38,0.94,0.1,90,19.26,Good,High pollution spike detected
Zhejiang,Ningbo,Ningbo_Station_5,26.372631,101.670604,2023-11-16,13.8,6.76,8.39,538.58,11.41,2.23,0.028,0.62,0.031,2.86,18.8,5.38,7.93,0.41,0.05,81,98.75,Poor,
Yunnan,Kunming,Kunming_Station_5,37.917165,119.806639,2023-09-16,23.44,7.24,6.17,494.64,6.48,1.67,0.006,0.61,0.114,3.28,19.92,2.94,5.11,0.73,0.1,101,54.8,Moderate,
Zhejiang,Ningbo,Ningbo_Station_8,36.04094,121.808415,2023-03-07,11.14,7.19,6.7,412.44,2.91,2.23,0.024,0.54,0.039,3.79,10.6,2.68,6.77,0.56,0.07,71,95.78,Good,Requires attention
Zhejiang,Hangzhou,Hangzhou_Station_9,38.86624,124.828729,2023-07-06,14.62,7.6,9.83,545.01,10.24,2.15,0.031,0.3,0.097,2.97,11.93,4.29,5.7,0.8,0.1,108,22.03,Very Poor,Requires attention
Sichuan,Chengdu,Chengdu_Station_1,32.361834,121.362901,2023-01-06,14.97,6.77,8.35,496.38,7.93,1.58,0.029,0.5,0.212,2.48,30.03,4.29,5.04,0.28,0.07,98,8.56,Good,
Sichuan,Mianyang,Mianyang_Station_7,41.250791,116.251585,2023-11-17,18.33,7.66,11.54,403.32,7.42,1.49,0.015,0.53,0.151,2.49,20.67,3.66,4.79,0.32,0.11,101,61.49,Very Poor,High pollution spike detected
Henan,Zhengzhou,Zhengzhou_Station_1,33.385726,107.200868,2023-07-03,20.76,7.45,6.89,619.67,4.41,1.15,0.01,0.31,0.152,2.25,13.22,3.88,5.27,0.68,0.09,115,65.3,Poor,
Yunnan,Kunming,Kunming_Station_1,37.249083,121.200669,2023-10-27,20.12,7.11,7.2,439.91,10.34,2.43,0.011,0.81,0.084,2.78,12.7,2.88,3.38,0.27,0.04,124,46.21,Very Poor,High pollution spike detected
Zhejiang,Ningbo,Ningbo_Station_7,31.474819,124.947219,2023-12-14,20.88,7.0,10.62,598.89,1.88,1.33,0.019,0.28,0.165,2.6,23.44,3.28,0.15,0.59,0.0,104,50.03,Moderate,Monitoring recommended
Shanghai,Shanghai,Shanghai_Station_10,24.357827,101.494134,2023-07-03,24.13,8.5,7.62,418.95,1.14,2.8,0.022,0.22,0.12,2.14,10.62,4.77,3.47,0.81,0.05,104,90.81,Excellent,
Beijing,Beijing,Beijing_Station_5,25.86997,109.867873,2023-12-25,15.63,7.66,8.7,375.2,1.64,2.3,0.018,0.51,0.077,2.39,13.48,3.43,4.21,0.73,0.13,81,60.03,Moderate,High pollution spike detected
Henan,Luoyang,Luoyang_Station_9,28.535529,123.818416,2023-06-27,16.43,7.76,4.95,351.66,0.83,1.61,0.027,0.74,0.04,2.18,28.22,4.23,3.93,0.82,0.16,110,67.71,Moderate,Requires attention
Sichuan,Chengdu,Chengdu_Station_8,41.233423,119.748401,2023-06-02,16.43,7.26,7.76,533.75,6.25,2.01,0.036,0.42,0.068,3.06,12.08,4.33,1.67,0.75,0.02,109,25.83,Poor,
Jiangsu,Suzhou,Suzhou_Station_10,43.783675,116.923723,2023-03-23,20.26,7.77,8.65,413.73,16.96,2.17,0.027,0.1,0.107,2.32,13.66,2.9,1.05,0.5,0.01,108,38.49,Poor,Requires attention
Beijing,Beijing,Beijing_Station_10,36.00482,124.134776,2023-08-23,26.17,7.61,7.15,473.12,8.13,1.35,0.021,0.67,0.061,3.23,20.8,3.35,4.9,0.29,0.14,95,30.89,Excellent,Requires attention
Sichuan,Mianyang,Mianyang_Station_1,28.236697,107.195575,2023-12-31,21.42,7.61,8.41,407.93,5.02,2.31,0.03,0.6,0.111,3.46,21.74,3.95,5.37,0.57,0.12,88,17.31,Excellent,Requires attention
Henan,Zhengzhou,Zhengzhou_Station_6,44.913822,110.088625,2023-08-24,25.11,6.93,8.68,639.86,8.27,1.81,0.016,0.63,0.066,3.08,24.77,6.02,7.31,0.39,0.06,96,54.68,Very Poor,Monitoring recommended
Jiangsu,Nanjing,Nanjing_Station_5,26.721342,120.462515,2023-03-30,26.34,6.95,3.98,703.42,0.08,2.08,0.017,0.35,0.21,3.18,12.11,4.1,2.12,0.33,0.11,97,42.3,Good,Monitoring recommended
Yunnan,Kunming,Kunming_Station_7,29.010093,100.421198,2023-06-08,25.04,7.37,3.29,374.2,6.11,2.53,0.022,1.03,0.066,3.82,17.07,2.93,4.39,0.17,0.05,90,72.86,Moderate,Requires attention
Yunnan,Dali,Dali_Station_9,27.535466,119.724419,2023-07-04,15.9,7.44,1.58,457.01,2.19,1.58,0.014,0.82,0.07,2.57,19.98,3.48,6.19,0.55,0.19,106,70.26,Excellent,
Jiangsu,Nanjing,Nanjing_Station_10,35.573882,115.507617,2023-09-14,21.36,7.22,7.66,627.19,3.08,1.2,0.022,0.65,0.127,3.02,24.52,5.19,4.38,0.61,0.12,105,8.9,Poor,High pollution spike detected
Guangdong,Guangzhou,Guangzhou_Station_8,37.596859,106.763874,2023-05-10,16.98,7.13,9.4,635.3,0.08,1.47,0.023,0.3,0.098,2.82,17.19,5.41,8.28,0.44,0.15,97,12.47,Very Poor,
Henan,Zhengzhou,Zhengzhou_Station_6,33.46236,109.29595,2023-07-29,27.4,6.94,9.09,626.66,3.44,2.18,0.026,0.6,0.055,3.98,12.98,4.29,6.49,0.7,0.08,91,47.6,Good,High pollution spike detected
Guangdong,Shenzhen,Shenzhen_Station_9,35.983752,123.119987,2023-09-16,16.54,7.25,6.43,420.68,3.98,2.44,0.014,0.76,0.038,3.07,22.77,4.66,3.97,0.25,0.08,103,40.65,Moderate,Requires attention
Henan,Zhengzhou,Zhengzhou_Station_2,23.938141,109.677638,2023-03-26,17.2,6.13,6.07,427.89,2.16,2.83,0.031,0.55,0.094,3.45,14.99,4.24,3.79,0.97,0.03,90,76.63,Good,
Henan,Zhengzhou,Zhengzhou_Station_7,35.340325,108.486887,2023-07-27,16.23,7.38,10.01,420.01,3.57,2.33,0.028,0.5,0.232,3.06,23.63,5.1,4.9,0.54,0.07,86,79.27,Excellent,Requires attention
Henan,Zhengzhou,Zhengzhou_Station_4,26.054836,113.925049,2023-10-12,30.64,7.02,7.81,655.23,11.82,2.47,0.018,0.17,0.192,2.9,25.27,3.64,-0.38,0.49,0.01,96,56.4,Very Poor,
Zhejiang,Hangzhou,Hangzhou_Station_9,23.530563,107.837252,2023-05-25,22.52,7.45,8.83,467.65,0.46,1.22,0.017,0.13,0.118,3.12,20.63,3.06,7.7,0.68,0.11,93,13.08,Excellent,Monitoring recommended
Shandong,Jinan,Jinan_Station_5,29.163143,117.523496,2023-07-04,28.76,6.98,6.81,702.7,6.53,2.69,0.034,0.37,0.05,3.54,17.26,3.27,6.63,0.22,0.08,86,42.77,Moderate,
Guangdong,Shenzhen,Shenzhen_Station_9,40.099234,115.871443,2023-08-20,26.39,6.48,6.49,380.86,3.14,1.5,0.033,0.56,0.074,2.67,23.83,4.09,2.76,0.39,0.04,109,80.63,Moderate,Requires attention
Yunnan,Kunming,Kunming_Station_2,41.658567,124.780523,2023-10-14,14.52,7.34,12.7,554.34,1.12,2.05,0.008,0.43,0.195,3.47,27.49,2.82,8.34,0.4,0.18,114,56.23,Excellent,
Hubei,Wuhan,Wuhan_Station_3,21.515356,108.803357,2023-12-22,22.76,7.12,6.97,492.19,5.15,2.12,0.006,0.71,-0.004,2.99,23.8,4.08,4.06,0.72,0.07,99,90.88,Poor,Monitoring recommended
Shandong,Qingdao,Qingdao_Station_10,36.618211,107.38702,2023-07-09,22.0,6.51,7.1,513.29,0.54,2.31,0.003,0.5,0.082,2.34,28.46,4.17,3.69,0.53,0.22,106,67.85,Good,High pollution spike detected
Zhejiang,Ningbo,Ningbo_Station_9,23.106697,121.736368,2023-06-04,18.23,6.44,8.95,503.84,14.26,1.26,0.037,0.12,0.116,3.03,19.34,4.04,6.04,0.59,0.09,96,85.57,Very Poor,Requires attention
Shanghai,Shanghai,Shanghai_Station_4,32.078249,115.413574,2023-03-08,30.0,7.16,9.95,638.1,0.88,2.23,0.038,0.66,0.069,2.81,7.29,3.92,4.26,0.4,0.06,92,46.05,Excellent,High pollution spike detected
Jiangsu,Nanjing,Nanjing_Station_9,41.23176,109.950268,2023-04-24,33.15,7.42,10.17,488.91,0.19,2.49,0.023,0.5,0.071,2.36,21.84,4.8,3.61,0.14,0.13,108,34.54,Excellent,Monitoring recommended
Yunnan,Dali,Dali_Station_9,24.280946,116.562111,2023-08-03,30.51,6.93,10.41,353.39,1.45,1.49,0.009,0.87,0.193,3.08,17.58,5.03,1.84,0.74,0.2,91,55.48,Moderate,
Hubei,Wuhan,Wuhan_Station_7,35.690698,120.153243,2023-10-20,18.03,7.14,10.23,614.45,1.91,1.96,0.019,0.53,0.002,2.99,19.97,5.5,6.66,0.26,0.08,94,49.42,Excellent,Requires attention
Yunnan,Kunming,Kunming_Station_7,28.402765,123.727659,2023-12-10,15.89,7.35,7.51,524.48,2.0,2.77,0.026,0.31,0.135,3.47,25.41,4.28,5.34,0.31,0.17,109,57.43,Good,High pollution spike detected
Beijing,Beijing,Beijing_Station_1,43.137664,121.929516,2023-05-11,23.2,6.89,12.64,523.08,2.68,1.67,0.032,0.46,0.193,3.15,29.42,3.93,2.77,0.56,0.09,109,60.36,Good,Requires attention
Shanghai,Shanghai,Shanghai_Station_8,21.369351,119.823271,2023-04-05,15.61,6.92,6.94,552.6,3.06,2.19,0.022,0.47,0.069,3.66,22.7,3.51,5.8,0.34,0.15,102,20.68,Good,Monitoring recommended
Shanghai,Shanghai,Shanghai_Station_5,40.804062,123.514723,2023-06-20,16.85,6.84,11.67,513.76,7.89,1.92,0.017,0.48,0.178,2.8,14.02,3.22,6.98,0.31,0.16,93,35.46,Poor,
Sichuan,Mianyang,Mianyang_Station_10,26.590034,116.434936,2023-08-25,23.68,7.75,8.38,637.32,4.97,1.88,0.011,0.22,0.094,2.96,27.95,3.59,7.03,0.48,0.19,103,8.12,Moderate,Requires attention
Shandong,Jinan,Jinan_Station_2,25.880908,117.723825,2023-01-15,20.85,6.97,6.97,319.66,7.04,1.45,0.008,0.33,-0.021,2.89,23.25,4.25,4.24,0.32,0.07,114,52.97,Poor,
Yunnan,Kunming,Kunming_Station_10,36.535388,119.855196,2023-04-21,18.09,6.86,10.37,539.1,5.83,1.71,0.011,0.93,0.14,3.09,16.63,3.23,6.15,0.34,0.06,120,53.06,Good,
Zhejiang,Hangzhou,Hangzhou_Station_10,28.089954,111.631804,2023-06-10,15.96,7.7,8.59,424.13,5.5,2.62,0.03,0.88,0.11,3.38,15.97,4.23,5.55,0.66,0.07,97,16.8,Good,Requires attention
Henan,Luoyang,Luoyang_Station_8,33.14545,116.804958,2023-07-30,19.24,7.42,7.93,503.77,7.28,2.52,0.019,0.48,0.166,3.79,26.74,3.67,3.81,0.32,0.03,93,35.48,Very Poor,Monitoring recommended
Henan,Zhengzhou,Zhengzhou_Station_8,22.252248,102.059263,2023-10-17,18.75,5.82,8.98,444.32,9.85,1.74,0.017,0.57,0.11,3.28,15.19,5.73,6.26,0.65,0.05,95,23.66,Excellent,High pollution spike detected
Shanghai,Shanghai,Shanghai_Station_5,40.942521,100.784418,2023-02-14,25.75,7.36,6.64,512.74,0.19,1.65,0.011,0.35,0.092,3.48,25.06,4.8,1.11,0.46,0.06,112,10.39,Very Poor,
Hubei,Wuhan,Wuhan_Station_4,28.484669,104.353518,2023-12-24,22.28,7.44,11.74,454.27,0.95,3.07,0.029,0.62,0.091,3.31,17.24,5.13,3.55,0.45,0.06,87,50.3,Moderate,High pollution spike detected
Sichuan,Chengdu,Chengdu_Station_6,33.732466,117.475079,2023-08-29,14.74,6.67,11.14,416.93,0.64,1.11,0.018,0.73,0.078,3.73,25.38,4.36,4.95,0.5,0.12,101,37.38,Moderate,Requires attention
Jiangsu,Suzhou,Suzhou_Station_7,29.700253,118.418343,2023-01-03,20.93,8.06,6.99,628.19,4.41,3.51,0.02,0.74,0.099,2.59,28.57,3.81,3.55,0.58,0.13,119,86.28,Excellent,Monitoring recommended
Yunnan,Kunming,Kunming_Station_5,44.765914,111.990457,2023-04-24,22.86,7.27,6.85,512.49,3.87,2.36,-0.005,0.62,0.175,3.38,12.06,5.44,3.9,0.54,0.16,113,96.41,Excellent,Requires attention
Guangdong,Guangzhou,Guangzhou_Station_7,23.645551,108.081755,2023-03-31,20.87,7.37,7.86,431.21,0.99,1.42,0.025,0.21,0.096,2.72,16.42,5.1,2.85,0.39,0.11,94,91.84,Excellent,High pollution spike detected
Sichuan,Mianyang,Mianyang_Station_5,20.911835,120.179873,2023-09-30,20.62,5.73,9.51,562.4,12.84,1.3,0.02,0.4,0.117,3.92,14.14,5.1,6.81,0.63,0.11,102,53.85,Very Poor,Monitoring recommended
Hubei,Yichang,Yichang_Station_4,35.718539,110.546112,2023-10-23,20.47,6.88,9.12,481.7,1.03,2.02,0.001,0.01,0.072,2.58,17.78,3.79,7.59,0.78,0.21,102,62.94,Poor,Monitoring recommended
Henan,Zhengzhou,Zhengzhou_Station_8,38.264022,105.933352,2023-03-08,22.02,6.15,9.03,351.93,2.83,2.19,0.018,0.41,0.098,2.64,18.36,2.0,3.16,0.27,0.13,116,62.37,Very Poor,High pollution spike detected
Hubei,Yichang,Yichang_Station_10,30.340908,109.137178,2023-05-27,20.35,6.73,9.31,479.57,10.84,2.63,0.027,0.32,0.128,3.09,10.2,5.24,2.87,0.62,0.1,96,83.58,Very Poor,
Zhejiang,Ningbo,Ningbo_Station_8,42.216629,104.640585,2023-08-07,24.22,6.59,6.05,471.94,0.02,1.62,0.026,0.5,0.067,3.66,14.74,4.53,0.01,0.56,0.16,115,59.62,Good,Monitoring recommended
Jiangsu,Nanjing,Nanjing_Station_4,34.734454,119.908674,2023-09-27,26.39,7.44,7.96,528.8,2.3,1.86,0.023,0.49,0.074,2.71,12.8,2.99,6.68,0.29,0.06,102,71.84,Good,Monitoring recommended
Jiangsu,Nanjing,Nanjing_Station_2,31.299122,123.045736,2023-08-05,16.13,7.89,10.47,511.92,4.57,2.5,0.018,0.39,0.042,2.13,22.72,4.0,5.02,0.99,0.18,105,10.69,Very Poor,High pollution spike detected
Beijing,Beijing,Beijing_Station_10,35.971631,101.858187,2023-07-02,25.07,7.14,5.26,709.38,4.32,1.43,0.019,0.55,0.184,3.61,9.63,3.58,1.96,0.24,0.13,108,86.17,Moderate,High pollution spike detected
Henan,Zhengzhou,Zhengzhou_Station_4,42.275772,119.485395,2023-08-27,19.9,7.6,9.25,419.53,2.71,1.55,0.022,0.22,0.172,3.92,16.51,3.18,5.53,0.34,0.16,110,31.71,Poor,High pollution spike detected
Sichuan,Mianyang,Mianyang_Station_1,40.055673,101.24521,2023-10-07,26.62,6.59,11.92,558.31,0.86,1.67,0.031,0.32,0.114,3.56,13.28,4.6,4.28,0.67,0.12,97,57.61,Excellent,High pollution spike detected
Beijing,Beijing,Beijing_Station_4,33.260887,124.337388,2023-05-16,16.81,6.01,10.33,605.09,0.14,1.98,0.036,0.14,0.125,3.84,16.85,3.46,7.66,0.28,0.14,111,77.52,Excellent,High pollution spike detected
Zhejiang,Ningbo,Ningbo_Station_1,34.387972,113.853309,2023-03-24,12.22,6.93,4.1,383.67,2.02,2.34,0.012,0.5,0.105,2.61,20.78,4.94,5.07,0.68,0.08,104,75.71,Good,High pollution spike detected
Shanghai,Shanghai,Shanghai_Station_4,24.255732,117.856823,2023-02-05,22.21,6.5,5.66,464.68,13.72,1.98,0.014,0.35,0.154,3.94,21.35,4.03,2.54,0.15,0.02,94,88.33,Good,Monitoring recommended
Shandong,Qingdao,Qingdao_Station_2,35.015515,104.04305,2023-06-27,17.76,6.73,7.16,516.09,5.6,1.47,0.006,0.16,0.046,4.11,26.52,4.18,4.27,0.38,0.11,90,17.1,Very Poor,High pollution spike detected
Guangdong,Shenzhen,Shenzhen_Station_2,35.845899,107.041992,2023-12-09,22.82,7.1,7.73,659.27,2.59,2.73,0.004,0.25,0.068,2.2,27.52,4.1,1.44,0.47,0.1,91,94.86,Very Poor,High pollution spike detected
Zhejiang,Ningbo,Ningbo_Station_1,31.746156,111.444202,2023-03-29,14.11,7.35,5.71,521.92,20.68,2.03,0.022,0.38,0.185,2.96,22.52,3.55,4.39,0.57,0.03,92,38.22,Moderate,Requires attention
Sichuan,Chengdu,Chengdu_Station_10,31.670148,117.275319,2023-12-15,20.74,7.49,9.92,707.79,10.84,2.5,0.028,0.11,0.056,2.53,16.11,3.74,6.03,0.73,0.13,95,26.08,Very Poor,Requires attention
Sichuan,Chengdu,Chengdu_Station_8,20.66063,120.407776,2023-02-19,19.54,6.93,6.35,463.01,6.13,2.4,0.008,0.67,0.111,3.11,21.22,3.92,4.87,0.45,0.11,91,42.38,Excellent,High pollution spike detected
Henan,Luoyang,Luoyang_Station_6,29.89074,121.13183,2023-03-25,17.84,7.67,8.36,463.21,0.82,1.93,0.027,0.49,0.095,2.8,24.13,3.76,5.53,0.71,0.1,77,90.99,Poor,High pollution spike detected
Hubei,Wuhan,Wuhan_Station_2,32.103881,109.994089,2023-08-15,27.89,7.35,8.17,622.52,9.33,2.7,0.03,0.37,0.139,2.07,26.01,3.93,3.45,0.15,0.09,102,29.4,Very Poor,Monitoring recommended
Shandong,Jinan,Jinan_Station_2,44.863899,114.959177,2023-07-26,20.96,6.69,4.82,489.24,16.45,2.4,0.011,0.43,0.171,3.34,28.86,4.6,3.58,0.5,0.14,99,18.58,Good,Requires attention
Beijing,Beijing,Beijing_Station_7,28.881639,114.76363,2023-02-24,21.42,7.48,8.69,573.6,3.58,1.95,0.027,0.24,0.1,2.95,19.64,2.28,4.29,0.33,0.15,107,23.0,Excellent,
Zhejiang,Hangzhou,Hangzhou_Station_1,27.321852,117.65375,2023-12-15,17.52,7.59,7.35,469.83,2.22,1.85,0.023,0.26,0.09,2.74,20.47,5.88,1.97,0.48,0.11,108,43.36,Poor,
Guangdong,Shenzhen,Shenzhen_Station_5,26.307996,122.228206,2023-10-11,19.79,6.23,8.64,494.45,12.47,1.38,0.023,0.78,0.114,2.96,17.4,3.72,4.47,0.5,0.12,108,53.29,Moderate,High pollution spike detected
Hubei,Wuhan,Wuhan_Station_8,35.151514,104.968601,2023-07-08,23.73,8.43,10.69,455.98,3.48,1.44,0.025,0.43,0.147,1.91,18.68,4.73,3.41,0.49,0.1,88,81.68,Very Poor,
Shandong,Qingdao,Qingdao_Station_7,32.950206,112.400074,2023-11-05,19.23,6.94,8.4,416.78,12.69,1.83,0.021,0.67,0.11,2.41,14.38,4.04,1.68,0.66,0.05,104,72.26,Excellent,Requires attention
Beijing,Beijing,Beijing_Station_8,35.577097,114.911835,2023-01-09,21.25,6.8,11.3,630.34,0.33,1.94,0.044,0.1,0.092,2.99,19.45,2.56,1.29,0.19,0.14,93,59.23,Very Poor,Monitoring recommended
Jiangsu,Nanjing,Nanjing_Station_10,39.012502,101.715085,2023-07-14,24.97,7.09,4.03,653.26,2.24,1.97,0.026,0.45,0.095,3.02,20.53,3.41,5.83,0.28,0.12,96,61.4,Good,Requires attention
Hubei,Yichang,Yichang_Station_3,20.244736,120.063823,2023-12-21,27.97,7.64,6.16,458.35,10.86,2.03,0.019,0.57,0.052,3.54,22.88,3.72,4.88,0.45,0.17,112,49.83,Good,High pollution spike detected
Hubei,Wuhan,Wuhan_Station_7,40.552264,114.373948,2023-12-04,25.29,7.61,13.17,554.73,8.01,1.25,0.042,0.45,0.104,3.52,18.97,4.21,5.13,0.43,0.12,91,78.84,Good,Requires attention
Yunnan,Dali,Dali_Station_7,24.637026,120.791466,2023-07-13,12.98,7.37,7.74,619.81,1.95,2.9,0.034,0.84,0.131,2.73,21.28,4.6,4.34,0.16,0.15,112,40.92,Poor,High pollution spike detected
Sichuan,Chengdu,Chengdu_Station_4,42.207168,124.243407,2023-02-01,23.23,6.81,7.4,672.79,13.46,2.1,0.024,0.56,0.129,2.42,29.32,3.82,4.81,0.44,0.11,97,45.46,Excellent,Monitoring recommended
Shandong,Qingdao,Qingdao_Station_9,38.570258,119.093253,2023-04-20,24.61,6.74,8.4,505.13,2.56,1.16,0.022,0.75,0.123,2.63,20.85,5.36,6.14,0.62,0.06,97,41.91,Poor,
Sichuan,Chengdu,Chengdu_Station_1,35.156222,100.999768,2023-03-08,23.79,7.16,10.58,611.69,0.01,2.37,0.018,0.43,0.196,2.87,17.91,4.93,5.26,0.24,0.15,89,49.26,Moderate,Requires attention
Shanghai,Shanghai,Shanghai_Station_8,28.965998,108.823836,2023-04-21,24.28,7.09,11.85,530.01,1.0,2.46,0.033,0.63,0.045,3.22,13.27,5.23,7.15,0.54,0.11,74,38.17,Moderate,Monitoring recommended
Beijing,Beijing,Beijing_Station_5,38.794741,118.131189,2023-06-05,20.18,7.55,5.42,639.85,4.62,1.71,0.029,0.56,0.101,3.53,30.6,2.84,7.0,0.41,0.14,111,19.96,Excellent,
Shandong,Jinan,Jinan_Station_5,31.448844,107.669698,2023-10-16,16.35,7.56,8.29,471.77,22.83,1.19,0.025,0.79,0.037,3.33,21.72,3.31,9.08,0.73,0.16,91,20.82,Moderate,Monitoring recommended
Shandong,Qingdao,Qingdao_Station_1,26.899434,114.601007,2023-03-01,18.51,7.34,7.04,619.98,7.21,2.35,0.013,0.49,0.033,3.04,14.96,4.55,6.39,0.5,0.07,112,5.92,Very Poor,High pollution spike detected
Henan,Luoyang,Luoyang_Station_7,33.496134,124.675233,2023-07-03,23.09,6.05,9.04,406.02,5.04,2.12,0.006,0.41,0.159,3.41,14.83,5.98,2.84,0.42,0.13,114,53.02,Good,Monitoring recommended
